log_wage,years_of_schooling,year_of_birth,quarter_of_birth,state_of_birth
6.583649,16.0,30.0,2.0,25.0
6.113725,12.0,30.0,2.0,20.0
6.123726,12.0,30.0,2.0,4.0
6.868635,12.0,30.0,2.0,21.0
6.131444,12.0,30.0,2.0,17.0
7.267378,16.0,30.0,2.0,42.0
7.050939,16.0,30.0,2.0,38.0
5.617121,20.0,30.0,2.0,36.0
6.186723,11.0,30.0,2.0,19.0
5.997934,10.0,30.0,2.0,6.0
5.970329,20.0,30.0,2.0,6.0
6.061322,14.0,30.0,2.0,31.0
5.991715,12.0,30.0,2.0,6.0
5.901214,12.0,30.0,2.0,6.0
5.068761,8.0,30.0,2.0,19.0
5.718734,10.0,30.0,2.0,26.0
6.295301,16.0,30.0,2.0,6.0
6.645516,12.0,30.0,2.0,31.0
5.631005,16.0,30.0,2.0,18.0
5.824695,12.0,30.0,2.0,29.0
5.901214,12.0,30.0,2.0,6.0
5.952494,12.0,30.0,2.0,6.0
5.847161,12.0,30.0,2.0,6.0
6.763285,12.0,30.0,2.0,29.0
6.422404,12.0,30.0,2.0,6.0
6.252534,14.0,30.0,2.0,6.0
6.594229,18.0,30.0,2.0,6.0
6.210561,14.0,30.0,2.0,36.0
5.901214,12.0,30.0,2.0,34.0
6.108179,16.0,30.0,2.0,6.0
6.001272,16.0,30.0,2.0,6.0
6.175587,13.0,30.0,2.0,6.0
7.274,14.0,30.0,2.0,20.0
5.719726,10.0,30.0,2.0,40.0
6.806766,19.0,30.0,2.0,20.0
6.512002,11.0,30.0,2.0,39.0
6.759501,17.0,30.0,2.0,42.0
6.025727,12.0,30.0,2.0,40.0
3.791592,13.0,30.0,2.0,18.0
7.050939,18.0,30.0,2.0,36.0
5.945974,12.0,30.0,2.0,42.0
6.001272,9.0,30.0,2.0,42.0
5.760175,14.0,30.0,2.0,25.0
5.259597,13.0,30.0,2.0,25.0
6.002434,11.0,30.0,2.0,20.0
6.175587,18.0,30.0,2.0,6.0
6.763285,20.0,30.0,2.0,39.0
5.922042,14.0,30.0,2.0,36.0
6.252534,15.0,30.0,2.0,4.0
6.717828,19.0,30.0,2.0,36.0
6.390337,14.0,30.0,2.0,39.0
7.274,18.0,30.0,2.0,39.0
6.234599,17.0,30.0,2.0,39.0
6.25563,20.0,30.0,2.0,42.0
7.233247,16.0,30.0,2.0,29.0
5.901214,14.0,30.0,2.0,6.0
6.182977,12.0,30.0,2.0,6.0
7.190691,16.0,30.0,2.0,36.0
5.896467,12.0,30.0,2.0,34.0
6.763285,15.0,30.0,2.0,17.0
5.617819,11.0,30.0,2.0,18.0
6.02851,12.0,30.0,2.0,19.0
6.092223,14.0,30.0,2.0,34.0
4.79165,12.0,30.0,2.0,17.0
6.175587,15.0,30.0,2.0,8.0
6.233845,20.0,30.0,2.0,42.0
6.226651,12.0,30.0,2.0,17.0
6.357876,20.0,30.0,2.0,6.0
6.320219,19.0,30.0,2.0,21.0
5.624781,12.0,30.0,2.0,9.0
6.567565,16.0,30.0,2.0,19.0
6.553961,14.0,30.0,2.0,36.0
6.437952,18.0,30.0,2.0,21.0
6.422404,16.0,30.0,2.0,55.0
6.08743,16.0,30.0,2.0,6.0
6.645516,14.0,30.0,2.0,36.0
5.952494,19.0,30.0,2.0,12.0
6.422404,16.0,30.0,2.0,42.0
5.677096,12.0,30.0,2.0,6.0
7.351875,17.0,30.0,2.0,38.0
5.847161,12.0,30.0,2.0,6.0
6.288895,16.0,30.0,2.0,19.0
6.827817,18.0,30.0,2.0,31.0
5.595926,12.0,30.0,2.0,6.0
6.332576,14.0,30.0,2.0,6.0
6.214846,16.0,30.0,2.0,53.0
6.237611,12.0,30.0,2.0,6.0
5.788269,10.0,30.0,2.0,34.0
6.131853,16.0,30.0,2.0,20.0
5.952494,13.0,30.0,2.0,39.0
6.453171,18.0,30.0,2.0,20.0
6.39066,13.0,30.0,2.0,42.0
6.645516,16.0,30.0,2.0,5.0
6.087867,14.0,30.0,2.0,34.0
6.999651,16.0,30.0,2.0,27.0
6.389046,13.0,30.0,2.0,53.0
5.595926,12.0,30.0,2.0,29.0
5.831488,15.0,30.0,2.0,20.0
5.847161,11.0,30.0,2.0,42.0
5.898052,14.0,30.0,2.0,6.0
5.901214,16.0,30.0,2.0,54.0
5.704116,12.0,30.0,2.0,42.0
6.422404,10.0,30.0,2.0,20.0
4.295544,17.0,30.0,2.0,6.0
5.799396,10.0,30.0,2.0,49.0
6.175587,9.0,30.0,2.0,6.0
6.047781,20.0,30.0,2.0,27.0
6.024797,19.0,30.0,2.0,18.0
6.653042,15.0,30.0,2.0,21.0
5.952494,12.0,30.0,2.0,6.0
5.595212,12.0,30.0,2.0,8.0
6.645516,19.0,30.0,2.0,16.0
6.502446,18.0,30.0,2.0,55.0
5.906985,13.0,30.0,2.0,38.0
6.2148,14.0,30.0,2.0,6.0
6.2148,14.0,30.0,2.0,8.0
6.455289,10.0,30.0,2.0,6.0
6.639499,12.0,30.0,2.0,39.0
7.130976,12.0,30.0,2.0,26.0
5.664895,12.0,30.0,2.0,20.0
6.945588,16.0,30.0,2.0,42.0
5.42394,12.0,30.0,2.0,8.0
6.190276,12.0,30.0,2.0,51.0
6.740815,13.0,30.0,2.0,21.0
6.750248,11.0,30.0,2.0,13.0
6.907851,12.0,30.0,2.0,18.0
3.365304,12.0,30.0,2.0,12.0
6.512002,16.0,30.0,2.0,6.0
6.277991,17.0,30.0,2.0,8.0
5.749822,11.0,30.0,2.0,18.0
6.405881,17.0,30.0,2.0,19.0
6.092223,12.0,30.0,2.0,29.0
5.790019,14.0,30.0,2.0,5.0
5.80956,8.0,30.0,2.0,27.0
6.551259,14.0,30.0,2.0,47.0
5.595926,16.0,30.0,2.0,6.0
6.357876,12.0,30.0,2.0,40.0
5.426651,18.0,30.0,2.0,6.0
6.047781,14.0,30.0,2.0,6.0
6.134774,11.0,30.0,2.0,6.0
6.438616,18.0,30.0,2.0,27.0
6.357876,16.0,30.0,2.0,22.0
6.288895,12.0,30.0,2.0,34.0
6.288895,16.0,30.0,2.0,25.0
6.092223,14.0,30.0,2.0,47.0
6.119663,16.0,30.0,2.0,26.0
5.691204,14.0,30.0,2.0,6.0
6.352194,12.0,30.0,2.0,27.0
5.952494,10.0,30.0,2.0,47.0
6.175587,14.0,30.0,2.0,40.0
5.747983,12.0,30.0,2.0,6.0
6.306591,12.0,30.0,2.0,26.0
0.0,18.0,30.0,2.0,26.0
6.594229,17.0,30.0,2.0,53.0
5.790019,12.0,30.0,2.0,21.0
6.540169,12.0,30.0,2.0,6.0
6.645516,16.0,30.0,2.0,6.0
6.560786,14.0,30.0,2.0,6.0
5.988817,16.0,30.0,2.0,36.0
5.89329,15.0,30.0,2.0,25.0
6.453171,14.0,30.0,2.0,6.0
5.354861,11.0,30.0,2.0,13.0
5.575002,14.0,30.0,2.0,8.0
6.172266,19.0,30.0,2.0,16.0
5.607991,11.0,30.0,2.0,30.0
6.047781,12.0,30.0,2.0,41.0
6.261355,12.0,30.0,2.0,6.0
5.84938,12.0,30.0,2.0,26.0
6.092223,14.0,30.0,2.0,40.0
6.447093,20.0,30.0,2.0,25.0
6.096993,12.0,30.0,2.0,6.0
6.2148,12.0,30.0,2.0,6.0
7.083807,12.0,30.0,2.0,5.0
5.04208,8.0,30.0,2.0,48.0
6.252534,9.0,30.0,2.0,12.0
5.441835,11.0,30.0,2.0,6.0
6.077701,1.0,30.0,2.0,36.0
6.25563,8.0,30.0,2.0,8.0
5.47219,16.0,30.0,2.0,20.0
5.097166,15.0,30.0,2.0,36.0
6.512002,18.0,30.0,2.0,40.0
4.136832,18.0,30.0,2.0,56.0
6.214993,12.0,30.0,2.0,40.0
6.047781,12.0,30.0,2.0,31.0
6.175587,14.0,30.0,2.0,40.0
4.931287,14.0,30.0,2.0,34.0
5.896467,12.0,30.0,2.0,6.0
5.847161,12.0,30.0,2.0,6.0
6.150403,13.0,30.0,2.0,55.0
6.288895,14.0,30.0,2.0,6.0
5.259597,9.0,30.0,2.0,44.0
5.664895,12.0,30.0,2.0,44.0
5.48264,11.0,30.0,2.0,44.0
6.030926,8.0,30.0,2.0,25.0
4.829083,11.0,30.0,2.0,44.0
5.441835,8.0,30.0,2.0,44.0
6.136917,16.0,30.0,2.0,44.0
5.44147,12.0,30.0,2.0,44.0
6.214808,7.0,30.0,2.0,44.0
5.847161,12.0,30.0,2.0,44.0
4.022945,16.0,30.0,2.0,44.0
5.618518,8.0,30.0,2.0,44.0
6.868635,20.0,30.0,2.0,42.0
5.912723,12.0,30.0,2.0,44.0
6.567565,14.0,30.0,2.0,25.0
5.617781,11.0,30.0,2.0,44.0
7.130976,20.0,30.0,2.0,25.0
5.664895,9.0,30.0,2.0,44.0
7.176313,18.0,30.0,2.0,44.0
6.483019,18.0,30.0,2.0,36.0
6.017797,12.0,30.0,2.0,17.0
5.336521,11.0,30.0,2.0,44.0
5.441835,6.0,30.0,2.0,44.0
5.521845,12.0,30.0,2.0,23.0
5.624087,12.0,30.0,2.0,44.0
5.693149,8.0,30.0,2.0,55.0
5.818998,10.0,30.0,2.0,9.0
6.357876,15.0,30.0,2.0,48.0
6.377675,12.0,30.0,2.0,48.0
7.31322,16.0,30.0,2.0,39.0
1.391184,0.0,30.0,2.0,25.0
5.856742,9.0,30.0,2.0,44.0
6.635467,10.0,30.0,2.0,44.0
5.595212,9.0,30.0,2.0,9.0
5.461253,9.0,30.0,2.0,44.0
5.664895,11.0,30.0,2.0,34.0
5.441835,12.0,30.0,2.0,34.0
6.461624,20.0,30.0,2.0,34.0
6.17158,18.0,30.0,2.0,9.0
6.316713,12.0,30.0,2.0,34.0
6.168326,12.0,30.0,2.0,34.0
7.050939,10.0,30.0,2.0,39.0
5.493473,13.0,30.0,2.0,34.0
6.461624,16.0,30.0,2.0,34.0
5.481056,9.0,30.0,2.0,34.0
6.001272,12.0,30.0,2.0,34.0
5.866414,16.0,30.0,2.0,34.0
5.847161,12.0,30.0,3.0,45.0
6.288895,12.0,30.0,3.0,45.0
5.259597,4.0,30.0,3.0,45.0
5.82924,12.0,30.0,3.0,36.0
6.134774,11.0,30.0,3.0,45.0
6.288895,16.0,30.0,3.0,13.0
5.790019,5.0,30.0,3.0,45.0
5.729413,17.0,30.0,3.0,45.0
5.345733,8.0,30.0,3.0,13.0
5.982045,12.0,30.0,3.0,45.0
5.354861,11.0,30.0,3.0,45.0
5.675969,1.0,30.0,3.0,45.0
5.902791,12.0,30.0,3.0,45.0
5.041562,12.0,30.0,3.0,51.0
6.512002,18.0,30.0,3.0,45.0
4.988872,11.0,30.0,3.0,45.0
5.729413,9.0,30.0,3.0,45.0
6.428633,20.0,30.0,3.0,36.0
6.134774,17.0,30.0,3.0,13.0
5.901214,12.0,30.0,3.0,45.0
6.175587,14.0,30.0,3.0,45.0
7.050939,16.0,30.0,3.0,45.0
5.73502,12.0,30.0,3.0,36.0
6.512002,12.0,30.0,3.0,13.0
5.960637,12.0,30.0,3.0,45.0
5.901214,11.0,30.0,3.0,45.0
5.664895,12.0,30.0,3.0,45.0
6.497616,16.0,30.0,3.0,45.0
6.175587,16.0,30.0,3.0,45.0
5.729413,20.0,30.0,3.0,45.0
5.202382,15.0,30.0,3.0,45.0
5.958425,11.0,30.0,3.0,54.0
6.175587,12.0,30.0,3.0,28.0
4.681586,5.0,30.0,3.0,45.0
5.927182,12.0,30.0,3.0,54.0
6.252534,16.0,30.0,3.0,45.0
5.729413,14.0,30.0,3.0,37.0
6.422404,18.0,30.0,3.0,39.0
6.175587,16.0,30.0,3.0,26.0
6.357876,16.0,30.0,3.0,45.0
6.102368,9.0,30.0,3.0,37.0
5.847161,13.0,30.0,3.0,20.0
5.595926,8.0,30.0,3.0,25.0
5.259597,15.0,30.0,3.0,18.0
6.288895,16.0,30.0,3.0,37.0
5.830359,14.0,30.0,3.0,45.0
3.429635,6.0,30.0,3.0,45.0
5.562529,14.0,30.0,3.0,50.0
6.540169,12.0,30.0,3.0,33.0
5.84605,10.0,30.0,3.0,50.0
6.055026,12.0,30.0,3.0,50.0
5.441835,12.0,30.0,3.0,50.0
5.074573,12.0,30.0,3.0,50.0
5.847161,12.0,30.0,3.0,50.0
6.052383,16.0,30.0,3.0,23.0
5.729413,8.0,30.0,3.0,25.0
5.915839,10.0,30.0,3.0,50.0
6.133523,12.0,30.0,3.0,50.0
5.399293,12.0,30.0,3.0,50.0
5.371085,12.0,30.0,3.0,50.0
6.2148,12.0,30.0,3.0,34.0
5.595926,12.0,30.0,3.0,33.0
5.545403,14.0,30.0,3.0,50.0
5.154292,8.0,30.0,3.0,50.0
7.152284,16.0,30.0,3.0,50.0
5.20833,16.0,30.0,3.0,54.0
6.235011,12.0,30.0,3.0,54.0
6.39066,12.0,30.0,3.0,54.0
5.154292,10.0,30.0,3.0,54.0
5.860951,12.0,30.0,3.0,42.0
6.491034,8.0,30.0,3.0,54.0
5.631005,12.0,30.0,3.0,54.0
6.594229,16.0,30.0,3.0,54.0
5.42118,12.0,30.0,3.0,54.0
6.377294,12.0,30.0,3.0,54.0
6.047781,7.0,30.0,3.0,54.0
6.63345,12.0,30.0,3.0,54.0
6.034763,10.0,30.0,3.0,54.0
5.790019,12.0,30.0,3.0,54.0
5.952494,12.0,30.0,3.0,39.0
6.400609,9.0,30.0,3.0,54.0
5.835991,8.0,30.0,3.0,54.0
6.249567,17.0,30.0,3.0,17.0
5.154292,6.0,30.0,3.0,54.0
5.192423,12.0,30.0,3.0,54.0
5.847161,7.0,30.0,3.0,39.0
5.628243,7.0,30.0,3.0,39.0
5.245444,8.0,30.0,3.0,39.0
6.214816,12.0,30.0,3.0,54.0
5.488222,12.0,30.0,3.0,54.0
5.675487,6.0,30.0,3.0,54.0
5.833988,7.0,30.0,3.0,54.0
0.2623643,4.0,30.0,3.0,21.0
5.830509,12.0,30.0,3.0,54.0
5.234612,7.0,30.0,3.0,51.0
4.498741,4.0,30.0,3.0,21.0
5.957977,12.0,30.0,3.0,54.0
5.354861,12.0,30.0,3.0,54.0
5.011276,7.0,30.0,3.0,54.0
5.154292,12.0,30.0,3.0,54.0
6.657937,16.0,30.0,3.0,26.0
6.567565,12.0,30.0,3.0,54.0
5.991715,9.0,30.0,3.0,54.0
5.234612,3.0,30.0,3.0,54.0
5.850765,8.0,30.0,3.0,54.0
6.060735,6.0,30.0,3.0,54.0
7.31322,19.0,30.0,3.0,54.0
5.697674,9.0,30.0,3.0,54.0
5.790019,8.0,30.0,3.0,54.0
5.521845,8.0,30.0,3.0,54.0
5.952494,11.0,30.0,3.0,54.0
5.521845,7.0,30.0,3.0,54.0
5.82583,12.0,30.0,3.0,54.0
5.595926,11.0,30.0,3.0,54.0
6.68482,19.0,30.0,3.0,54.0
6.001272,9.0,30.0,3.0,54.0
5.901214,12.0,30.0,3.0,55.0
5.902044,15.0,30.0,3.0,26.0
5.927182,12.0,30.0,3.0,39.0
6.26028,12.0,30.0,3.0,54.0
6.195778,12.0,30.0,3.0,22.0
6.001272,12.0,30.0,3.0,54.0
6.443677,8.0,30.0,3.0,54.0
5.847161,9.0,30.0,3.0,54.0
6.422404,9.0,30.0,3.0,54.0
5.047758,8.0,30.0,3.0,21.0
8.699931,6.0,30.0,3.0,54.0
5.906584,12.0,30.0,3.0,1.0
6.092223,11.0,30.0,3.0,21.0
6.252534,12.0,30.0,3.0,21.0
5.901214,8.0,30.0,3.0,54.0
5.816138,12.0,30.0,3.0,54.0
6.085278,9.0,30.0,3.0,54.0
4.770522,4.0,30.0,3.0,54.0
5.036578,7.0,30.0,3.0,54.0
6.110315,12.0,30.0,3.0,54.0
6.512002,11.0,30.0,3.0,54.0
5.901214,14.0,30.0,3.0,54.0
4.998057,12.0,30.0,3.0,47.0
6.047781,10.0,30.0,3.0,54.0
5.664895,9.0,30.0,3.0,54.0
5.895938,12.0,30.0,3.0,54.0
6.134774,12.0,30.0,3.0,49.0
6.092223,12.0,30.0,3.0,56.0
6.709426,12.0,30.0,3.0,53.0
6.39066,17.0,30.0,3.0,56.0
5.952494,14.0,30.0,3.0,27.0
6.167909,12.0,30.0,3.0,56.0
5.940434,11.0,30.0,3.0,56.0
5.874553,12.0,30.0,3.0,56.0
5.561066,12.0,30.0,3.0,17.0
5.521845,12.0,30.0,3.0,46.0
6.092223,9.0,30.0,3.0,48.0
7.274,12.0,30.0,3.0,38.0
6.288895,12.0,30.0,3.0,38.0
5.699607,14.0,30.0,3.0,30.0
5.952494,8.0,30.0,3.0,31.0
6.422404,9.0,30.0,3.0,38.0
5.286225,12.0,30.0,3.0,29.0
6.134774,12.0,30.0,3.0,36.0
4.594537,10.0,30.0,3.0,36.0
4.41027,9.0,30.0,3.0,36.0
5.729413,12.0,30.0,3.0,36.0
6.276683,12.0,30.0,3.0,26.0
5.858409,12.0,30.0,3.0,36.0
5.48264,12.0,30.0,3.0,36.0
4.706581,12.0,30.0,3.0,40.0
6.684737,17.0,30.0,3.0,36.0
6.092223,12.0,30.0,3.0,36.0
5.354861,12.0,30.0,3.0,36.0
5.085338,9.0,30.0,3.0,36.0
6.357876,12.0,30.0,3.0,36.0
6.288895,17.0,30.0,3.0,36.0
5.154292,12.0,30.0,3.0,36.0
5.72503,12.0,30.0,3.0,36.0
5.871305,12.0,30.0,3.0,36.0
5.9346,9.0,30.0,3.0,36.0
5.729413,14.0,30.0,3.0,36.0
4.319153,16.0,30.0,3.0,36.0
5.763337,8.0,30.0,3.0,36.0
5.586416,10.0,30.0,3.0,50.0
5.847161,8.0,30.0,3.0,36.0
6.125549,10.0,30.0,3.0,36.0
6.422404,20.0,30.0,3.0,36.0
5.852147,11.0,30.0,3.0,36.0
6.175587,15.0,30.0,3.0,36.0
5.48264,8.0,30.0,3.0,36.0
6.288895,16.0,30.0,3.0,36.0
5.928207,12.0,30.0,3.0,36.0
6.357457,17.0,30.0,3.0,27.0
5.91701,9.0,30.0,3.0,36.0
6.645516,20.0,30.0,3.0,42.0
6.357876,12.0,30.0,3.0,36.0
5.664228,10.0,30.0,3.0,36.0
6.357876,12.0,30.0,3.0,36.0
5.664895,11.0,30.0,3.0,36.0
5.818998,12.0,30.0,3.0,36.0
5.589479,12.0,30.0,3.0,36.0
6.137079,12.0,30.0,3.0,36.0
5.830359,18.0,30.0,3.0,36.0
5.78421,10.0,30.0,3.0,42.0
5.872389,16.0,30.0,3.0,36.0
5.595926,12.0,30.0,3.0,25.0
5.772818,12.0,30.0,3.0,36.0
5.566949,11.0,30.0,3.0,25.0
6.029436,8.0,30.0,3.0,36.0
5.740596,12.0,30.0,3.0,36.0
6.184743,16.0,30.0,3.0,36.0
5.154292,6.0,30.0,3.0,36.0
6.80258,8.0,30.0,3.0,36.0
5.847161,12.0,30.0,3.0,36.0
6.643817,16.0,30.0,3.0,36.0
6.2148,12.0,30.0,3.0,36.0
6.252534,12.0,30.0,3.0,36.0
5.441835,8.0,30.0,3.0,36.0
5.48264,12.0,30.0,3.0,36.0
5.927182,10.0,30.0,3.0,36.0
5.85829,9.0,30.0,3.0,36.0
6.40761,12.0,30.0,3.0,36.0
6.021537,7.0,30.0,3.0,36.0
6.001272,8.0,30.0,3.0,36.0
5.933825,16.0,30.0,3.0,36.0
5.595926,8.0,30.0,3.0,36.0
4.969413,12.0,30.0,3.0,36.0
6.163517,12.0,30.0,3.0,36.0
6.001272,12.0,30.0,3.0,36.0
5.749822,10.0,30.0,3.0,36.0
5.951494,18.0,30.0,3.0,36.0
6.963936,20.0,30.0,3.0,39.0
6.580986,14.0,30.0,3.0,38.0
6.001272,12.0,30.0,3.0,36.0
5.582674,12.0,30.0,3.0,36.0
5.036578,8.0,30.0,3.0,36.0
5.154292,12.0,30.0,3.0,36.0
5.835991,12.0,30.0,3.0,36.0
5.354861,12.0,30.0,3.0,36.0
6.092223,16.0,30.0,3.0,36.0
6.070249,12.0,30.0,3.0,36.0
6.512002,16.0,30.0,3.0,33.0
6.171982,12.0,30.0,3.0,36.0
6.415506,8.0,30.0,3.0,36.0
6.078656,16.0,30.0,3.0,36.0
5.952494,17.0,30.0,3.0,36.0
5.148724,12.0,30.0,3.0,36.0
6.2148,12.0,30.0,3.0,36.0
5.441835,11.0,30.0,3.0,36.0
6.347827,13.0,30.0,3.0,42.0
5.474611,10.0,30.0,3.0,36.0
5.473805,10.0,30.0,3.0,42.0
5.441835,12.0,30.0,3.0,36.0
5.299847,7.0,30.0,3.0,36.0
5.847161,11.0,30.0,3.0,36.0
5.945974,8.0,30.0,3.0,36.0
6.001272,13.0,30.0,3.0,36.0
7.274,20.0,30.0,3.0,19.0
5.684313,10.0,30.0,3.0,36.0
5.563267,12.0,30.0,3.0,36.0
6.357876,14.0,30.0,3.0,36.0
2.273315,16.0,30.0,3.0,36.0
5.790019,12.0,30.0,3.0,36.0
5.980588,12.0,30.0,3.0,36.0
5.847161,14.0,30.0,3.0,9.0
5.911161,17.0,30.0,3.0,36.0
6.540169,18.0,30.0,3.0,36.0
3.628499,12.0,30.0,3.0,36.0
6.6943,17.0,30.0,3.0,55.0
6.645516,17.0,30.0,3.0,36.0
5.588041,9.0,30.0,3.0,36.0
5.678136,10.0,30.0,3.0,36.0
6.195386,13.0,30.0,3.0,36.0
1.043042,0.0,30.0,3.0,36.0
5.729413,16.0,30.0,3.0,36.0
5.354861,12.0,30.0,3.0,36.0
6.024797,14.0,30.0,3.0,36.0
6.270879,14.0,30.0,3.0,36.0
5.952494,12.0,30.0,3.0,36.0
6.175587,12.0,30.0,3.0,36.0
6.034285,12.0,30.0,3.0,36.0
5.760175,12.0,30.0,3.0,36.0
5.798801,9.0,30.0,3.0,36.0
6.301315,11.0,30.0,3.0,36.0
5.952494,9.0,30.0,3.0,36.0
4.972081,9.0,30.0,3.0,36.0
5.036578,10.0,30.0,3.0,36.0
6.134774,12.0,30.0,3.0,36.0
5.714938,16.0,30.0,3.0,36.0
5.393173,12.0,30.0,3.0,36.0
6.026655,12.0,30.0,3.0,36.0
6.645516,20.0,30.0,3.0,36.0
6.116554,20.0,30.0,3.0,36.0
4.749104,9.0,30.0,3.0,36.0
6.631926,18.0,30.0,3.0,34.0
5.952494,16.0,30.0,3.0,36.0
5.664895,14.0,30.0,3.0,36.0
6.175587,20.0,30.0,3.0,36.0
6.092223,14.0,30.0,3.0,36.0
5.729413,12.0,30.0,3.0,36.0
5.542394,9.0,30.0,3.0,36.0
6.39066,14.0,30.0,3.0,36.0
6.62024,12.0,30.0,3.0,36.0
4.88149,16.0,30.0,3.0,44.0
5.486631,12.0,30.0,3.0,36.0
6.134774,12.0,30.0,3.0,36.0
6.310146,17.0,30.0,3.0,36.0
6.134774,16.0,30.0,3.0,36.0
4.859365,20.0,30.0,3.0,36.0
6.594229,17.0,30.0,3.0,36.0
6.995079,16.0,30.0,3.0,36.0
6.761729,20.0,30.0,3.0,23.0
6.437905,12.0,30.0,3.0,42.0
5.790019,12.0,30.0,3.0,36.0
6.422404,16.0,30.0,3.0,55.0
6.134774,12.0,30.0,3.0,36.0
5.664895,14.0,30.0,3.0,36.0
5.790019,9.0,30.0,3.0,42.0
6.136854,13.0,30.0,3.0,36.0
6.923117,13.0,30.0,3.0,36.0
6.422404,16.0,30.0,3.0,39.0
5.790019,13.0,30.0,3.0,36.0
7.014797,18.0,30.0,3.0,39.0
7.333423,17.0,30.0,3.0,44.0
6.205529,12.0,30.0,3.0,36.0
5.952494,13.0,30.0,3.0,36.0
6.790181,11.0,30.0,3.0,36.0
5.481056,10.0,30.0,3.0,36.0
4.606419,12.0,30.0,3.0,32.0
5.847161,14.0,30.0,3.0,1.0
5.617121,8.0,30.0,3.0,36.0
-2.34181,14.0,30.0,3.0,36.0
6.051863,12.0,30.0,3.0,36.0
5.952494,10.0,30.0,3.0,36.0
5.879404,16.0,30.0,3.0,36.0
4.022945,10.0,30.0,3.0,36.0
5.549899,12.0,30.0,3.0,36.0
6.320169,10.0,30.0,3.0,36.0
5.48264,7.0,30.0,3.0,42.0
5.855458,12.0,30.0,3.0,36.0
6.199748,17.0,30.0,3.0,36.0
5.901214,7.0,30.0,3.0,36.0
6.352696,20.0,30.0,3.0,36.0
5.441835,9.0,30.0,3.0,36.0
6.047781,11.0,30.0,3.0,36.0
6.154296,12.0,30.0,3.0,36.0
5.82071,12.0,30.0,3.0,36.0
5.794127,12.0,30.0,3.0,36.0
6.422404,12.0,30.0,3.0,36.0
5.847161,12.0,30.0,3.0,36.0
6.119548,8.0,30.0,3.0,36.0
5.441835,11.0,30.0,3.0,36.0
5.876172,12.0,30.0,3.0,36.0
5.183834,14.0,30.0,3.0,36.0
6.148682,12.0,30.0,3.0,36.0
6.620201,12.0,30.0,3.0,36.0
6.106466,13.0,30.0,3.0,36.0
5.963579,12.0,30.0,3.0,36.0
5.581542,9.0,30.0,3.0,36.0
6.907851,12.0,30.0,3.0,17.0
6.617634,12.0,30.0,3.0,36.0
5.752267,12.0,30.0,3.0,36.0
6.252534,14.0,30.0,3.0,36.0
6.512002,16.0,30.0,3.0,36.0
6.178203,17.0,30.0,3.0,36.0
5.805193,12.0,30.0,3.0,36.0
3.894564,12.0,30.0,3.0,36.0
6.134774,16.0,30.0,3.0,36.0
6.339036,14.0,30.0,3.0,36.0
6.252534,12.0,30.0,3.0,36.0
5.745004,20.0,30.0,3.0,42.0
6.645516,12.0,30.0,3.0,36.0
5.886382,13.0,30.0,3.0,36.0
5.259597,12.0,30.0,3.0,36.0
5.707302,12.0,30.0,3.0,36.0
5.847161,16.0,30.0,3.0,36.0
6.081362,12.0,30.0,3.0,36.0
6.127824,12.0,30.0,3.0,36.0
5.658208,12.0,30.0,3.0,42.0
5.259597,14.0,30.0,3.0,36.0
5.194558,8.0,30.0,3.0,42.0
6.252534,14.0,30.0,3.0,36.0
4.996772,15.0,30.0,3.0,36.0
6.552431,12.0,30.0,3.0,36.0
6.723856,20.0,30.0,3.0,17.0
5.991705,19.0,30.0,3.0,42.0
6.052383,9.0,30.0,3.0,39.0
5.946477,12.0,30.0,3.0,36.0
5.952494,10.0,30.0,3.0,36.0
5.664895,12.0,30.0,3.0,36.0
6.092223,14.0,30.0,3.0,36.0
5.729413,10.0,30.0,3.0,36.0
5.595926,17.0,30.0,3.0,36.0
6.868635,17.0,30.0,3.0,42.0
6.670206,12.0,30.0,3.0,36.0
5.558717,7.0,30.0,3.0,36.0
6.036279,8.0,30.0,3.0,36.0
6.67314,17.0,30.0,3.0,36.0
6.214816,8.0,30.0,3.0,36.0
5.76802,12.0,30.0,3.0,36.0
5.764407,12.0,30.0,3.0,42.0
6.32398,16.0,30.0,3.0,26.0
5.901214,12.0,30.0,3.0,36.0
3.791592,8.0,30.0,3.0,36.0
6.139944,8.0,30.0,3.0,36.0
6.042313,12.0,30.0,3.0,36.0
6.002224,12.0,30.0,3.0,42.0
6.357876,16.0,30.0,3.0,36.0
6.043226,12.0,30.0,3.0,36.0
5.670875,16.0,30.0,3.0,36.0
6.167557,12.0,30.0,3.0,36.0
6.357876,16.0,30.0,3.0,42.0
5.672861,12.0,30.0,3.0,36.0
5.441835,12.0,30.0,3.0,42.0
5.845493,12.0,30.0,3.0,36.0
6.2148,12.0,30.0,3.0,36.0
5.990262,7.0,30.0,3.0,36.0
4.216392,12.0,30.0,3.0,36.0
5.354861,6.0,30.0,3.0,36.0
5.259597,5.0,30.0,3.0,36.0
5.952494,13.0,30.0,3.0,36.0
5.710491,12.0,30.0,3.0,36.0
6.092223,17.0,30.0,3.0,36.0
5.710491,7.0,30.0,3.0,36.0
6.05359,12.0,30.0,3.0,36.0
5.481056,14.0,30.0,3.0,36.0
6.047781,12.0,30.0,3.0,36.0
6.211334,12.0,30.0,3.0,36.0
5.991715,16.0,30.0,3.0,36.0
5.952494,12.0,30.0,3.0,36.0
6.013104,12.0,30.0,3.0,36.0
